file_name,recognized_text,Human-recognized Text
DSC_0038_crop0,F1 F2 F3 ESC SEL 1 2 3 4 5 6 7 8 9 . 0 - EXIT,F1 F2 F3 ESC SEL 1 2 3 4 5 6 7 8 9 . 0 - EXIT
DSC_0043_crop0,"TotalState 4000
 Sansui
 MUTING OFF
 MPX NOISE CANCELLER","SolicState 4000
 Sansui
 MUTING OFF
 MPX NOISE CANCELLER"
DSC_0055_crop0,"marantz PROFESSIONAL SOLID STATE RECORDER PMD660
 MIC L
 MIC R
 MARK
 MENU/STORE
 COPY
 DISPLAY
 LIGHT
 EDIT
 USB
 LOCK
 SHIFT
 MARK-
 MARK+
 ENTER
 REC PAUSE
 STOP
 CANCEL
 REC LEVEL
 L R
 PHONES","marantz PROFESSIONAL SOLID STATE RECORDER PMD660
 MIC L
 MIC R
 MARK
 MENU/STORE
 COPY
 DISPLAY
 LIGHT
 EDIT
 USB
 LOCK
TRACK JUMP
PLAY/PAUSE
 SHIFT
 MARK-
 MARK+
 ENTER
 REC PAUSE
 STOP
 CANCEL
 REC LEVEL
 L R
 PHONES"
DSC_0056_crop0,EPSON,EPSON
DSC_0090_crop0,"HP 69400A/69410A
 RX TX DUPLEX PREV TESTS LOCAL RECALL MEAS RESET PRESET
 USER DATA FUNCTIONS
 k1 k2 k3 k4 k5 k6 k7 k8 k9 dB
 7 8 9 ENTER
 4 5 6 GHz
 1 2 3 MHz
 0 . +/-
 YES NO 0 MS
 MAX PWR
 200 W
 CAUTION: GND APPLY
 POWER SWITCH IS OFF.
 CURSOR CONTROL
 MIG/AGG VOLUME SQUELCH AUDIO OUT HI LO
 AUDIO IN","HP 69400A/69410A
 RX TX DUPLEX PREV TESTS LOCAL RECALL MEAS RESET PRESET
 USER DATA FUNCTIONS DATA
 k1 k2 k3 k4 k5 
 7 8 9 ENTER
 4 5 6 GHz
 1 2 3 MHz
 0 . +/- KHz
 YES NO 0 MS
 MAX PWR
 200 W
 CAUTION: GND APPLY
 POWER SWITCH IS OFF.
 CURSOR CONTROL
 MIG/AGG VOLUME SQUELCH AUDIO OUT HI LO
 AUDIO IN"
RBE-100 a_crop0,Xircom,Xircom
Tektronix 2465A a_crop0,"A1 1.00 V
 AV1 0.640°","A1 1.00 V
 AV1 0.640°"
Tektronix 2465A a_crop1,Tektronix 2465A 350MHz OSCILLOSCOPE,Tektronix 2465A 350MHz OSCILLOSCOPE
Tektronix 2465A a_crop2,200ns,200ns
Tektronix 2465A a_crop3,200mV 200nS,200mU 200nS
Tektronix 2465A b_crop0,"SETUP
 STEP
 AUTO
 SAVE
 HELP
 PREFACALL
 HELP
 AIDD
 INVERT
 CHOP/
 ALT
 20MHZ
 BW/UNWIT
 VOLTS/DIV
 VOLTS/DIV
 SEC/DIV
 VAR
 VAR
 VAR
 VAR
 50Ω
 DC
 50Ω
 DC
 CH 1
 OR
 X
 1MΩ 15pF ≤400Vpk
 1MΩ 15pF ≤400Vpk
 1MΩ 15pF ≤400Vpk
 TRIGGER
 POSITION
 X10
 MAG
 HOLDOFF
 A SWP
 TRI/O
 READY
 TRIGGER
 LEVEL
 +1
 AUTO
 LVL
 VERT
 DC
 AUTO
 CH 2
 CH 3
 CH 4
 A/NORM
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH 2
 CH 3
 CH 4
 CH 1
 CH","SETUP
 STEP/
 AUTO
 SAVE
 HELP
 RECALL
 HELP
 ADD
 INVERT
 CHOP/
 ALT
 20MHZ
 BW/LIMIT
 VOLTS/DIV
 VOLTS/DIV
 SEC/DIV
SLOW
FAST
 VAR
 VAR
 VAR
 VAR
 50Ω
 DC
 50Ω
 DC
 CH 1
 OR
 X
 1MΩ 15pF ≤400Vpk
 1MΩ 15pF ≤400Vpk
 1MΩ 15pF ≤400Vpk
 1MΩ 15pF ≤400Vpk
 TRIGGER
 POSITION
 X10
 MAG
 HOLDOFF
 A SWP
 TRIGO
 READY
 TRIGGER
 LEVEL
 +-
 AUTO
 AUTO LVL
 VERT
 DC
 CH 1
 CH 2
 CH 3
 CH 4
 A/NORM
 CH 2
 CH 3
 CH 4
SGL 
B
RUN
TRIG
ALT
DLY
LINE
NOISE
MF
LF
AC
RE3
MODE
SOURCE
COUPLING
VOLTS/DIV"
text_0_conf0.95,"System x
 This product has been tested for
 IBM System X Units.
 Refer to the IBM Statement of Limited
 Warranty for further information.
 IBM Option: 81Y9670
 1P81Y9670
 300 GB
 15K rpm
 IBM FRU: 00FN460
 SAS 6Gb
 IBM P/N: 00FN462
 11S49Y7433Y9BZ6XN7QRC4
 DOM: 26OCT2014
 PART NUMBER: *9SW066-039*
 MODEL: ST9300653SS
 SERIAL NUMBER: *6XN7QRC4*
 WW N: 5000C5007E635AEC
 LOT NUMBER: 15182
 Site: SUZHSG
 RATED VDC AMPS
 +5V 1.10 A
 +12V 0.30 A
 HDD Mfg by Seagate Technology LLC
 Serial Attached SCSI
 20
 N176
 中国产品
 Product of China
 E14512
 100666932
 DO NOT
 HOLE","System x
 This product has been tested for
 IBM System X Units.
 Refer to the IBM Statement of Limited
 Warranty for further information.
 IBM Option: 81Y9670
 1P81Y9670
 300 GB
 15K rpm
 IBM FRU: 00FN460
 SAS 6Gb
 IBM P/N: 00FN462
 11S49Y7433Y9BZ6XN7QRC4
 DOM: 26OCT2014
 PART NUMBER: *9SW066-039*
 MODEL: ST9300653SS
 SERIAL NUMBER: *6XN7QRC4*
 WW N: 5000C5007E635AEC
 LOT NUMBER: 15182
 Site: SUZHSG
 RATED VDC AMPS
 +5V 1.10 A
 +12V 0.30 A
 HDD Mfg by Seagate Technology LLC
 Serial Attached SCSI
 20
 N176
 中国产品
 Product of China
 E14512
653SS(B)
 100666932
 DO NOT
 HOLE"
TN746B a_crop0,"AT&T
 327DF
 9313T
 1319574
 AT&T
 327HB
 9318T
 85093742
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309","AT&T
 327DF
 9313T
 1319574
 AT&T
 327HB
 9318T
 85093742
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309T
 55381
 LB1276AF
 9309"
VetSafe 700 a_crop0,"CUTTING
 EDGE
 VetSafe 700 Smoke Evacuation System
 POWER
 ON / OFF
 100%
 80%
 60%
 40%
 20%
 FILTER LIFE REMAINING
 SUCTION
 CONTROL
 NEW
 REPLACE
 SERVICE
 CUTTING
 EDGE
 VetSafe 700 Smoke Evacuation System","CUTTING
 EDGE
 VetSafe 700 Smoke Evacuation System
 POWER
 ON / OFF
 100%
 80%
 60%
 40%
 20%
 FILTER LIFE REMAINING
 100%
 80%
 60%
 40%
 20%
 SUCTION
 CONTROL
 NEW
 REPLACE
 SERVICE
 CUTTING
 EDGE
 VetSafe 700 Smoke Evacuation System"
WD15 (3)_crop0,"DELL www.dell.com
 电脑扩充基座
 型号：WD15 中国制造
 输入：19.5V --- 6.7A/9.23A
 Reg Model/型号: K17A
 Reg Type No.: K17A001
 Input/输入/Daya
 19.5V --- 6.7A/9.23A
 CIT
 中国製造/Made in China
 CAN ICES-3 (B)/NMB-3 (B)
 Raheen Business Park Limerick Ireland
 MSIP-REM-E2K-K17A001
 SVC TAG:
 9GVBDG2
 EXPRESS SERVICE CODE: 20611098578
 MAC:D4-81-D7-FD-AA-1A
 DELL
 电脑扩充基座
 型号：WD15 中国制造
 输入：19.5V --- 6.7A/9.23A
 Reg Model/型号: K17A
 Reg Type No.: K17A001
 Input/输入/Daya
 19.5V --- 6.7A/9.23A
 CIT
 中国製造/Made in China
 CAN ICES-3 (B)/NMB-3 (B)
 Raheen Business Park Limerick Ireland
 MSIP-REM-E2K-K17A001
 SVC TAG:
 9GVBDG2
 EXPRESS SERVICE CODE: 20611098578
 MAC:D4-81-D7-FD-AA-1A","DELL www.dell.com
 電腦擴充基座
 컴퓨터 도킹
 스테이션
 Reg Model/型號: K17A
 Reg Type No.: K17A001
 Input/輸入/Daya
 19.5V --- 6.7A/9.23A CIT
 中國製造/Made in China
 CAN ICES-3 (B)/NMB-3 (B)
 Raheen Business Park Limerick Ireland
 NOM NYCE
 MSIP-REM-E2K-K17A001
 MNO5 15 001 D33002
 SVC TAG:
 9GVBDG2
 PPID:
 CN-05FDDV-12963-
 77C-015C-A03
 EXPRESS SERVICE CODE: 20611098578
 MAC:D4-81-D7-FD-AA-1A
 DELL 电脑扩充基座
 型号: WD15 中国制造
 输入: 19.5V --- 6.7A/9.23A
 TUV Rheinland
 GS
 www.tuv.com
 ID 1000000000
 FC
 CE
 CUL US
 LISTED
 I.T.E. E105109
 DPN: 1RTXC
 DPC A01"
WD15 (3)_crop1,"DELL www.dell.com
 電腦擴充基座
 컴퓨터 도킹
 스테이션
 Reg Model/型號: K17A
 Reg Type No.: K17A001
 Input/輸入/Daya
 19.5V --- 6.7A/9.23A CIT
 中國製造/Made in China
 CAN ICES-3 (B)/NMB-3 (B)
 Raheen Business Park Limerick Ireland
 NOM NYCE
 MSIP-REM-E2K-K17A001
 MNO5 15 001 D33002
 SVC TAG:
 9GVBDG2
 PPID:
 CN-05FDDV-12963.
 77C-015C-AQ3
 EXPRESS SERVICE CODE: 20611098578
 MAC:D4-81-D7-FD-AA-1A
 DELL 电脑扩充基座
 型号: WD15 中国制造
 输入: 19.5V --- 6.7A/9.23A
 TUV Rheinland
 GS
 www.tuv.com
 ID 1000000000
 FC
 CE
 UL US
 LISTED
 I.T.E. E165189
 DPN: 1RTXC
 DPC A01","DELL www.dell.com
 電腦擴充基座
 컴퓨터 도킹
 스테이션
 Reg Model/型號: K17A
 Reg Type No.: K17A001
 Input/輸入/Daya
 19.5V --- 6.7A/9.23A CIT
 中國製造/Made in China
 CAN ICES-3 (B)/NMB-3 (B)
 Raheen Business Park Limerick Ireland
 NOM NYCE
 MSIP-REM-E2K-K17A001
 MNO5 15 001 D33002
 SVC TAG:
 9GVBDG2
 PPID:
 CN-05FDDV-12963-
 77C-015C-A03
 EXPRESS SERVICE CODE: 20611098578
 MAC:D4-81-D7-FD-AA-1A
 DELL 电脑扩充基座
 型号: WD15 中国制造
 输入: 19.5V --- 6.7A/9.23A
 TUV Rheinland
 GS
 www.tuv.com
 ID 1000000000
 FC
 CE
 CUL US
 LISTED
 I.T.E. E105109
 DPN: 1RTXC
 DPC A01"
